Loan_ID,Borrower_ID,Loan_Amount,Interest_Rate,Loan_Term_Months,Annual_Revenue,EBITDA,Debt_to_Equity,Current_Ratio,Credit_Score,Collateral_Value,Origination_Date,Default,LTV_Ratio,Debt_Service_Coverage,Months_Since_Origination,Delinquency_Days,annual_turnover,monthly_sales,sales_growth_3m,days_past_due,gst_delay_days,cash_flow_3m_trend,cash_flow_6m_trend,industry_risk_score,Loan_Purpose_Expansion,Loan_Purpose_Inventory,Loan_Purpose_Other,Loan_Purpose_Real Estate,Loan_Purpose_Working Capital,Industry_Construction,Industry_Healthcare,Industry_Manufacturing,Industry_Retail,Industry_Services,Industry_Technology,Industry_Transportation
LOAN_000010,BORR_000010,81216,12.2,60,1909551,66046,1.51,2.14,520,114719,2024-02-08,0,0.71,5.0,28,21,1818004,174896,-0.0406,16,37,-0.0456,0.1433,7.7,0,0,0,1,0,0,0,0,1,0,0,0
LOAN_000011,BORR_000011,80935,6.7,60,8025272,39212,0.9,0.86,652,29731,2022-12-08,0,2.0,5.0,41,5,8402387,764346,-0.1025,4,40,-0.0459,0.1327,4.4,1,0,0,0,0,0,0,0,1,0,0,0
LOAN_000012,BORR_000012,233968,12.02,84,33459,58885,0.69,1.48,778,18375,2023-12-01,0,2.0,5.0,8,8,34571,3373,0.1286,22,82,0.039,-0.1924,4.4,0,1,0,0,0,0,1,0,0,0,0,0
LOAN_000013,BORR_000013,9228,12.23,24,570999,809636,3.71,3.17,443,81597,2025-06-05,0,0.11,5.0,40,3,554573,43120,-0.0229,18,27,-0.2196,-0.0649,8.0,0,0,0,0,0,0,0,0,1,0,0,0
LOAN_000014,BORR_000014,12241,8.37,60,76952,43282,2.69,1.81,620,56002,2023-10-02,1,0.22,5.0,4,58,74503,6216,-0.1925,191,92,-0.049,-0.0137,4.6,0,0,1,0,0,0,0,0,0,0,1,0
LOAN_000015,BORR_000015,70022,6.31,36,274514,166119,1.06,2.66,660,34258,2020-06-17,0,2.0,5.0,15,15,265823,17846,0.1027,11,20,-0.0575,0.0112,7.4,1,0,0,0,0,1,0,0,0,0,0,0
LOAN_000016,BORR_000016,35623,9.73,36,679881,295602,2.89,2.46,559,215000,2022-03-24,0,0.17,5.0,21,7,666571,44592,-0.1608,14,62,-0.1115,-0.1561,5.8,0,0,0,1,0,0,0,0,0,0,0,1
LOAN_000017,BORR_000017,260763,14.14,84,3375076,392117,4.0,2.07,523,35356,2023-05-04,0,2.0,5.0,15,25,3383431,252643,-0.153,14,85,0.0477,0.0737,3.6,0,0,1,0,0,0,1,0,0,0,0,0
LOAN_000018,BORR_000018,41687,11.04,48,3170443,67739,3.26,3.05,614,286649,2023-04-15,0,0.15,5.0,51,17,3148866,220505,0.1989,2,83,-0.099,-0.1022,4.8,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000019,BORR_000019,19565,5.9,24,3062276,331117,2.06,0.91,602,93226,2021-06-12,1,0.21,5.0,46,90,2998344,225896,-0.2908,105,76,-0.2686,-0.1164,5.3,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000020,BORR_000020,1466623,11.51,24,2355389,87679,3.35,3.26,705,7675,2020-04-29,0,2.0,1.17,12,8,2381734,172837,-0.3275,4,5,0.1859,0.2367,5.1,0,1,0,0,0,0,0,1,0,0,0,0
LOAN_000021,BORR_000021,115998,8.7,48,240559,161725,3.11,2.74,603,101834,2024-01-30,0,1.14,5.0,5,4,231886,15679,0.1134,5,28,-0.0171,0.0956,4.6,0,1,0,0,0,0,0,0,0,1,0,0
LOAN_000022,BORR_000022,180104,10.51,60,3148576,39459,0.81,3.13,690,32222,2023-07-05,0,2.0,5.0,3,29,3083131,298992,-0.0256,5,60,0.0181,0.2092,4.4,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000023,BORR_000023,19204,12.07,120,533205,29028,3.74,0.85,668,10119,2022-08-23,0,1.9,5.0,7,3,526079,35216,-0.0126,16,34,-0.161,0.0147,3.3,0,0,0,1,0,0,0,0,0,0,1,0
LOAN_000024,BORR_000024,71928,9.66,60,2058504,252531,3.59,1.03,707,59638,2022-12-25,0,1.21,5.0,10,15,2049460,186916,-0.0272,27,74,-0.0553,0.1198,6.3,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000025,BORR_000025,192217,12.95,84,399655,3557551,2.57,1.36,621,30091,2023-01-12,0,2.0,5.0,2,17,411052,29488,0.0548,7,51,0.0233,0.2267,5.4,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000026,BORR_000026,28955,11.94,60,968438,104409,2.28,2.4,637,1303573,2021-10-11,0,0.02,5.0,11,26,939353,91187,-0.0929,18,32,-0.1281,0.0418,4.5,1,0,0,0,0,0,0,0,0,0,0,0
LOAN_000027,BORR_000027,285942,10.77,84,1108772,154012,1.3,1.05,737,34361,2023-01-04,0,2.0,5.0,34,15,1110350,107067,0.2414,19,24,0.0551,-0.0333,7.3,0,0,0,0,0,0,0,0,1,0,0,0
LOAN_000028,BORR_000028,66107,5.66,12,1820478,356606,3.42,3.32,752,82424,2022-05-14,1,0.8,5.0,45,60,1837301,162533,-0.2782,289,44,0.0043,-0.1205,3.7,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000029,BORR_000029,105078,13.2,84,439235,640521,2.01,2.82,785,18480,2020-11-23,0,2.0,5.0,21,9,419313,37350,0.0867,20,52,-0.025,-0.0075,4.6,0,0,0,0,0,0,0,0,0,1,0,0
LOAN_000030,BORR_000030,66001,14.29,36,2660139,684245,2.53,2.98,562,48166,2020-05-15,0,1.37,5.0,3,0,2688747,179728,0.1163,21,60,-0.0622,0.1285,7.0,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000031,BORR_000031,2619298,5.51,84,248761,325691,1.1,2.38,579,130690,2023-08-13,0,2.0,5.0,54,11,240564,23935,-0.0939,12,12,0.2323,0.1468,4.4,1,0,0,0,0,0,0,0,0,0,0,0
LOAN_000032,BORR_000032,159492,9.37,12,9254612,129576,1.25,2.5,676,2029196,2021-12-31,0,0.08,5.0,42,23,8852084,849160,-0.1336,28,14,0.0084,0.0807,2.6,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000033,BORR_000033,33304,6.85,60,487993,393703,3.95,1.4,623,84997,2023-09-25,0,0.39,5.0,23,1,509898,49206,0.1726,14,54,-0.1169,-0.0762,5.9,0,1,0,0,0,0,0,0,0,0,0,1
LOAN_000034,BORR_000034,558951,12.3,60,114800,270589,2.23,3.26,485,7018,2023-10-08,0,2.0,5.0,50,26,120145,10649,-0.1286,16,52,0.1087,-0.2915,2.4,1,0,0,0,0,0,1,0,0,0,0,0
LOAN_000035,BORR_000035,26075,11.94,120,1102931,150430,3.36,2.55,684,514580,2021-07-03,0,0.05,5.0,12,19,1136945,88863,-0.071,23,71,-0.1365,-0.0693,5.2,0,0,0,1,0,0,0,1,0,0,0,0
LOAN_000036,BORR_000036,222636,5.55,60,733625,533050,3.4,1.93,582,220176,2023-10-01,0,1.01,5.0,58,20,719290,69379,0.1531,20,46,0.0351,-0.0407,7.2,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000037,BORR_000037,8608,13.65,36,399656,283565,3.94,3.18,651,1234,2023-10-27,0,2.0,5.0,33,14,383576,29299,0.0252,16,44,-0.2252,-0.0419,2.5,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000038,BORR_000038,22197,5.99,48,6045764,65532,3.94,3.13,671,6998,2022-09-03,0,2.0,5.0,4,19,6157146,525966,-0.2496,22,74,-0.1494,0.0978,5.0,0,0,0,0,1,0,0,0,0,1,0,0
LOAN_000039,BORR_000039,218664,12.77,36,2975324,40755,2.1,0.8,617,31633,2024-11-15,1,2.0,4.85,6,131,2957517,206999,0.0242,108,83,-0.3682,-0.4212,5.8,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000040,BORR_000040,492721,9.03,24,2093769,20577,3.83,3.3,626,16077,2025-06-16,0,2.0,0.85,49,6,2014632,196222,-0.0595,27,14,0.0986,0.0235,5.0,1,0,0,0,0,0,1,0,0,0,0,0
LOAN_000041,BORR_000041,210460,7.61,24,382134,47833,1.78,1.78,702,52791,2022-12-27,1,2.0,4.73,22,67,381949,27255,-0.097,345,111,-0.2178,-0.3155,4.7,0,0,1,0,0,0,0,0,0,1,0,0
LOAN_000042,BORR_000042,136834,5.74,24,636667,169382,2.63,1.94,509,27893,2022-03-11,0,2.0,5.0,9,19,607023,45018,0.0584,29,35,-0.0039,-0.0339,6.2,1,0,0,0,0,0,0,1,0,0,0,0
LOAN_000043,BORR_000043,103605,5.84,48,577662,616895,3.38,1.03,549,225300,2024-08-13,0,0.46,5.0,32,28,601306,51274,0.1138,2,69,-0.0261,0.0237,8.7,0,0,0,0,0,1,0,0,0,0,0,0
LOAN_000044,BORR_000044,17715,11.28,84,134287,139916,3.7,3.17,445,266912,2021-11-28,0,0.07,5.0,1,25,131047,12074,0.3142,21,24,-0.1674,-0.1192,4.1,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000045,BORR_000045,55283,10.05,84,1665597,238918,2.33,2.26,600,11076,2023-09-23,0,2.0,5.0,56,1,1692666,147789,-0.229,8,43,-0.0764,0.023,3.8,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000046,BORR_000046,81555,5.34,12,1818283,355714,1.96,3.25,776,1026953,2020-12-07,0,0.08,5.0,38,1,1784046,132740,0.1439,5,0,-0.0453,0.0726,2.2,0,0,0,1,0,0,1,0,0,0,0,0
LOAN_000047,BORR_000047,794670,5.24,12,1392445,33507,3.05,2.91,560,456443,2020-04-23,0,1.74,0.5,43,1,1395239,93059,0.1315,0,41,0.1369,0.0365,7.2,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000048,BORR_000048,272509,4.8,24,1580088,92787,2.1,3.22,659,1070,2023-06-22,0,2.0,5.0,58,27,1587468,145896,-0.0006,21,58,0.0512,0.0736,5.9,0,1,0,0,0,0,0,0,0,0,0,1
LOAN_000049,BORR_000049,11561,12.18,36,308859,35872,2.85,3.36,645,16923,2025-03-20,0,0.68,5.0,36,18,299125,29765,0.1381,18,32,-0.2016,0.0701,4.5,0,0,0,0,1,0,0,1,0,0,0,0
LOAN_000050,BORR_000050,264640,11.83,12,411124,105048,3.31,3.19,568,12069,2021-04-17,0,2.0,4.26,5,15,430429,40315,0.1601,3,31,0.0489,-0.2608,4.5,0,0,0,0,0,0,1,0,0,0,0,0
LOAN_000051,BORR_000051,91342,4.64,36,822655,229727,3.44,1.37,595,15387,2023-02-10,0,2.0,5.0,35,27,845288,69319,-0.1873,12,65,-0.0362,0.1005,2.8,0,0,0,0,1,0,0,0,0,0,0,0
LOAN_000052,BORR_000052,58960,10.16,48,6333020,180226,1.39,0.99,489,1789,2022-09-04,0,2.0,5.0,55,25,6611355,639927,0.2825,19,24,-0.0712,-0.0957,5.1,0,0,1,0,0,0,0,1,0,0,0,0
LOAN_000053,BORR_000053,407385,4.93,48,4852797,55812,2.5,2.47,684,75957,2025-01-29,0,2.0,5.0,56,17,5044398,405207,-0.2138,24,39,0.0834,-0.1594,4.7,0,0,0,0,1,0,1,0,0,0,0,0
LOAN_000054,BORR_000054,764134,13.94,48,2236424,330778,0.59,1.22,768,19829,2021-07-05,0,2.0,5.0,46,28,2258318,190070,-0.1503,7,57,0.1337,-0.1607,5.1,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000055,BORR_000055,657973,13.98,36,13495276,229078,3.29,3.13,547,128879,2020-08-10,1,2.0,5.0,20,169,14064606,1161328,0.0695,164,72,-0.4598,-0.0528,4.3,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000056,BORR_000056,46220,11.68,60,2217120,284143,0.94,3.36,662,1639772,2023-04-11,0,0.03,5.0,30,1,2125883,173445,0.3087,4,63,-0.0907,-0.0284,4.1,0,1,0,0,0,0,0,0,0,1,0,0
LOAN_000057,BORR_000057,102352,14.19,60,2579602,199245,3.55,1.13,738,614386,2025-03-11,0,0.17,5.0,1,11,2501177,231374,-0.0262,9,18,-0.0271,-0.2473,3.0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000058,BORR_000058,267505,12.93,36,7100944,61285,1.92,1.44,724,24497,2023-11-09,0,2.0,5.0,47,7,6778012,570882,0.0152,26,88,0.0498,0.0767,4.5,0,0,1,0,0,0,1,0,0,0,0,0
LOAN_000059,BORR_000059,703144,13.11,12,2771224,33608,1.09,2.49,705,56063,2024-10-09,1,2.0,0.51,48,118,2722819,210266,0.0456,250,43,0.1806,-0.2258,4.4,0,1,0,0,0,0,0,0,0,1,0,0
LOAN_000060,BORR_000060,79319,10.27,36,8695598,269757,3.29,2.76,770,157280,2021-03-17,0,0.5,5.0,51,6,8598796,647248,-0.025,28,73,-0.0475,0.026,3.9,0,0,0,0,1,0,0,0,0,0,1,0
LOAN_000061,BORR_000061,123193,7.37,24,1244465,282427,1.2,2.18,539,798859,2023-04-10,0,0.15,5.0,36,0,1216010,82597,-0.1568,18,79,-0.0123,0.0408,5.7,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000062,BORR_000062,30961,6.4,48,557716,179863,1.88,1.8,592,66586,2021-05-22,0,0.46,5.0,54,23,576050,49601,-0.0426,11,41,-0.1228,0.1378,4.2,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000063,BORR_000063,27056,7.6,24,1072531,2509994,2.48,1.63,640,11923,2021-02-22,0,2.0,5.0,58,8,1057167,78581,0.2256,0,81,-0.1335,0.2723,5.7,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000064,BORR_000064,550613,10.91,48,1599604,89656,1.76,2.6,705,151506,2020-07-10,0,2.0,5.0,50,18,1564562,112029,0.0306,8,85,0.1075,-0.1997,5.4,0,0,0,1,0,0,0,1,0,0,0,0
LOAN_000065,BORR_000065,1244643,5.9,24,406068,254355,1.13,2.81,723,10243,2022-09-18,0,2.0,4.39,27,18,407801,36074,0.3096,23,49,0.1727,-0.0029,3.6,0,1,0,0,0,0,0,0,0,0,0,0
LOAN_000066,BORR_000066,146090,6.85,60,511530,188278,1.92,1.58,651,10646,2023-10-27,0,2.0,5.0,58,18,493162,44075,0.1307,15,75,0.0014,-0.0365,4.8,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000067,BORR_000067,733292,9.15,12,723984,155825,1.0,1.68,689,249151,2024-05-07,0,2.0,2.34,15,21,745862,68424,-0.0767,16,47,0.1304,0.0701,6.0,0,0,0,1,0,0,0,1,0,0,0,0
LOAN_000068,BORR_000068,279974,6.56,48,321894,40779,3.02,2.04,680,346941,2024-08-07,0,0.81,5.0,2,15,308199,25719,0.0277,17,56,0.0534,0.0374,6.2,1,0,0,0,0,0,0,0,0,0,0,1
LOAN_000069,BORR_000069,61840,10.48,24,593785,114606,1.1,2.02,506,597677,2023-06-14,0,0.1,5.0,9,24,622695,60070,-0.108,13,8,-0.0674,-0.0479,6.1,0,0,1,0,0,0,0,0,0,0,0,0
LOAN_000070,BORR_000070,279873,14.15,12,2904848,569487,2.19,3.08,595,534401,2022-08-28,0,0.52,5.0,59,20,2983930,292061,-0.0803,16,29,0.0534,-0.0611,5.5,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000071,BORR_000071,1634838,12.23,84,3118410,350403,2.46,1.98,478,159318,2023-11-21,0,2.0,5.0,40,11,3024457,283025,0.6919,0,17,0.1946,-0.1625,7.1,0,0,0,1,0,0,0,0,0,0,0,1
LOAN_000072,BORR_000072,154239,11.33,60,223439,492888,3.81,3.44,620,30420,2024-05-23,0,2.0,5.0,32,29,212390,18659,0.1728,29,44,0.0057,0.1532,8.2,0,1,0,0,0,0,0,0,1,0,0,0
LOAN_000073,BORR_000073,1701405,10.41,12,1742511,73788,0.77,1.64,643,8331,2023-01-03,1,2.0,0.5,5,53,1797480,138029,-0.1355,121,63,-0.1417,-0.1635,4.8,0,1,0,0,0,0,0,0,0,0,1,0
LOAN_000074,BORR_000074,3198,9.37,60,1106648,541909,3.76,2.67,655,50905,2022-05-04,0,0.06,5.0,35,22,1129539,112311,-0.0735,20,82,-0.3044,0.1427,6.1,0,0,0,0,0,0,0,0,1,0,0,0
LOAN_000075,BORR_000075,558412,6.05,48,4245146,39216,1.23,2.85,610,39583,2024-12-13,1,2.0,2.71,9,53,4342362,329170,-0.1912,274,31,0.29,-0.1409,4.9,0,0,1,0,0,0,0,0,0,0,0,0
LOAN_000076,BORR_000076,185455,13.84,48,870599,126154,3.44,2.5,676,45730,2021-09-02,0,2.0,5.0,47,25,894215,65654,0.1849,18,65,0.0204,-0.0935,7.2,0,0,0,0,1,0,0,0,0,0,0,1
LOAN_000077,BORR_000077,103931,6.73,36,271728,43295,0.82,1.79,650,53846,2022-07-24,0,1.93,5.0,8,17,260153,21177,0.3022,1,10,-0.0259,-0.1567,4.5,0,0,0,1,0,0,0,0,0,0,0,1
LOAN_000078,BORR_000078,186771,5.0,84,670690,1633080,3.96,1.5,589,32807,2023-09-21,0,2.0,5.0,3,5,661197,45332,0.295,27,89,0.021,0.0588,6.4,1,0,0,0,0,0,0,0,1,0,0,0
LOAN_000079,BORR_000079,8255,12.25,24,285850,200741,3.33,2.43,540,91157,2024-01-31,0,0.09,5.0,3,14,274869,27289,-0.2019,29,71,-0.2285,-0.151,4.7,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000080,BORR_000080,117065,5.93,36,80337,557001,0.72,2.58,588,13830,2024-12-30,0,2.0,5.0,3,18,83254,7183,-0.1465,23,66,-0.0164,0.2823,5.1,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000081,BORR_000081,278081,8.09,36,1128076,274416,1.25,1.5,672,113473,2022-12-10,0,2.0,5.0,33,8,1141984,97333,-0.1306,23,14,0.0529,-0.1911,4.7,0,0,0,1,0,0,1,0,0,0,0,0
LOAN_000082,BORR_000082,1493810,4.31,60,2242365,325628,2.42,1.71,642,9157,2021-09-10,0,2.0,5.0,19,27,2204446,195151,-0.1216,13,39,0.1873,0.046,5.9,0,1,0,0,0,0,0,1,0,0,0,0
LOAN_000083,BORR_000083,74801,5.51,84,1505232,41862,2.33,3.13,665,97969,2025-05-28,0,0.76,5.0,48,29,1439537,119818,0.0685,21,12,-0.0522,0.24,6.8,0,1,0,0,0,1,0,0,0,0,0,0
LOAN_000084,BORR_000084,48400,5.91,60,257317,149825,2.7,2.99,665,34414,2020-09-11,1,1.41,5.0,32,66,252453,17100,-0.0618,132,49,0.0445,-0.2565,5.1,1,0,0,0,0,0,0,0,0,1,0,0
LOAN_000085,BORR_000085,76677,4.6,60,237266,39907,2.12,1.3,743,108611,2024-10-16,0,0.71,5.0,30,13,233118,20299,0.3309,26,85,-0.0502,0.0314,6.6,0,0,0,1,0,0,0,0,1,0,0,0
LOAN_000086,BORR_000086,642487,11.22,120,1562200,88663,3.07,3.32,595,546317,2023-08-12,0,1.18,5.0,43,17,1598069,144687,0.3057,14,32,0.1198,-0.1403,2.9,0,0,0,0,0,0,1,0,0,0,0,0
LOAN_000087,BORR_000087,266499,13.21,60,9229361,167972,1.72,2.5,711,3099,2021-01-25,0,2.0,5.0,15,28,9356317,753729,0.019,0,1,0.0495,-0.2023,3.5,0,0,0,1,0,0,0,0,0,0,1,0
LOAN_000088,BORR_000088,73523,8.11,60,5688132,48062,1.12,2.14,793,40962,2024-10-12,0,1.79,5.0,30,19,5908383,543038,0.3133,21,33,-0.0536,0.1205,7.9,0,0,0,0,1,1,0,0,0,0,0,0
LOAN_000089,BORR_000089,351477,13.62,120,845456,30022,0.62,1.34,530,99365,2024-12-30,0,2.0,4.34,58,12,843106,62586,0.2432,0,15,0.0716,0.2309,6.9,0,0,0,0,0,0,0,0,0,0,0,1
LOAN_000090,BORR_000090,188266,6.35,12,1550145,33121,1.64,2.77,675,36741,2020-08-23,0,2.0,1.99,8,3,1491176,110410,-0.0476,11,13,0.0216,-0.0608,5.0,1,0,0,0,0,0,0,1,0,0,0,0
LOAN_000091,BORR_000091,695904,7.58,48,3597815,362353,1.99,3.29,607,67878,2021-09-23,0,2.0,5.0,4,18,3674536,264740,-0.2814,21,45,0.1262,-0.1659,5.0,1,0,0,0,0,0,0,0,0,1,0,0
LOAN_000092,BORR_000092,56778,5.66,60,1011904,105407,2.81,0.98,583,73941,2023-12-14,0,0.77,5.0,3,18,1038292,82094,-0.0127,14,49,-0.0742,-0.3637,5.4,0,0,0,0,0,0,1,0,0,0,0,0
LOAN_000093,BORR_000093,99559,10.83,84,239754,29716,3.32,2.21,822,510828,2024-04-24,1,0.19,5.0,29,71,241223,22892,-0.1333,253,45,-0.0193,-0.3136,6.2,0,1,0,0,0,1,0,0,0,0,0,0
LOAN_000094,BORR_000094,90385,8.62,84,40791,146445,1.34,3.17,694,7314,2023-03-15,0,2.0,5.0,22,1,41896,3949,0.051,17,42,-0.0371,-0.012,5.9,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000095,BORR_000095,18119,10.75,60,1495774,399162,2.23,3.37,620,5031,2022-01-17,0,2.0,5.0,43,19,1494845,118731,0.0334,14,17,-0.1656,0.2449,6.3,0,0,0,0,0,0,0,1,0,0,0,0
LOAN_000096,BORR_000096,253769,12.38,84,947422,134344,1.32,0.99,731,91097,2024-10-01,0,2.0,5.0,24,17,949575,81952,0.0295,6,47,0.0455,0.106,7.4,0,0,0,0,1,1,0,0,0,0,0,0
LOAN_000097,BORR_000097,240766,10.0,48,155266,24449,3.83,2.94,721,388380,2022-03-02,0,0.62,3.48,55,2,154140,13979,0.0986,11,63,0.0413,0.0508,5.0,0,0,0,0,0,0,1,0,0,0,0,0
LOAN_000098,BORR_000098,164007,10.9,12,216982,122820,2.77,1.56,654,319495,2024-07-04,0,0.51,5.0,7,27,206684,15440,-0.1619,9,25,0.0106,-0.055,8.2,0,0,1,0,0,0,0,0,0,0,0,1
LOAN_000099,BORR_000099,114475,14.29,12,877568,54068,2.87,2.26,660,30209,2020-08-21,0,2.0,4.96,42,2,843157,60936,0.0817,1,73,-0.0182,-0.0825,7.8,0,0,1,0,0,1,0,0,0,0,0,0
LOAN_000100,BORR_000100,19476,7.29,48,624228,211884,2.36,2.92,639,10876,2022-01-11,0,1.79,5.0,50,26,594978,58944,-0.0459,1,69,-0.1598,0.2158,6.6,0,0,0,1,0,0,0,0,1,0,0,0
LOAN_000101,BORR_000101,86598,7.95,36,6706883,94323,1.49,2.27,636,109797,2020-06-07,0,0.79,5.0,50,24,6798371,593170,0.05,5,13,-0.0405,0.0351,6.5,0,0,0,1,0,0,0,1,0,0,0,0
LOAN_000102,BORR_000102,97336,11.89,48,6600559,201383,1.2,1.1,583,134943,2021-05-01,1,0.72,5.0,12,89,6478023,643789,-0.0036,327,96,-0.2055,-0.4425,5.0,1,0,0,0,0,0,0,0,0,0,1,0
LOAN_000103,BORR_000103,48853,10.72,36,433713,16122,2.8,2.39,605,8253,2022-08-08,1,2.0,5.0,36,158,434084,33826,-0.3186,328,59,-0.2883,-0.1493,3.5,0,1,0,0,0,0,0,0,0,0,0,1
LOAN_000104,BORR_000104,127780,5.96,84,7314809,166254,3.73,1.12,647,21595,2021-12-21,0,2.0,5.0,3,11,7612936,685933,-0.0222,27,72,-0.0094,-0.1237,5.0,1,0,0,0,0,0,0,0,0,0,0,0
LOAN_000105,BORR_000105,298366,8.14,36,8371865,106929,1.25,1.74,620,95754,2024-06-11,0,2.0,5.0,13,20,8161975,604694,0.0022,23,76,0.0585,-0.0769,4.1,0,0,0,0,1,0,0,0,0,1,0,0
LOAN_000106,BORR_000106,2755966,9.15,84,1709184,47637,2.5,2.31,591,60928,2022-06-27,0,2.0,0.89,32,9,1693866,127672,-0.0571,26,20,0.2363,0.0894,5.4,0,0,0,0,0,0,0,0,0,0,0,0
LOAN_000107,BORR_000107,211475,8.61,84,393524,163334,2.35,3.48,789,341346,2024-06-25,0,0.62,5.0,9,14,403580,33791,0.155,9,54,0.0309,-0.0111,4.3,1,0,0,0,0,0,0,0,0,1,0,0
LOAN_000108,BORR_000108,239504,5.96,48,1387398,100351,2.75,2.76,685,90800,2022-08-14,0,2.0,5.0,30,27,1349771,104365,-0.0881,2,1,0.0409,-0.0065,7.4,0,0,0,0,0,1,0,0,0,0,0,0
LOAN_000109,BORR_000109,145558,14.17,36,93875,137403,2.56,1.62,625,8871,2022-01-11,0,2.0,5.0,31,12,89903,6495,-0.0633,15,2,0.0011,0.202,3.6,1,0,0,0,0,0,0,0,0,1,0,0
LOAN_000110,BORR_000110,9153,12.39,60,593992,41583,1.45,3.17,738,95074,2025-04-26,1,0.1,5.0,43,59,581503,43862,-0.0396,328,116,-0.0059,0.0037,8.2,0,0,0,0,0,1,0,0,0,0,0,0
